ndc_clean,shape,colors,imprint,size_mm
00093737001,CAPSULE,WHITE,TEVA;7370,19
00093406901,CAPSULE,BLUE,TEVA;4069,22
00093312501,CAPSULE,"GREEN, GREEN",TEVA;3125,22
00093406801,CAPSULE,PINK,TEVA;4068,18
00093403001,CAPSULE,GREEN,TEVA;4030,19
00093317101,CAPSULE,"RED, BLUE",TEVA;3171,19
00093081301,CAPSULE,ORANGE,TEVA;75mg;0813,19
00093312301,CAPSULE,"GREEN, GREEN",TEVA;3123,18
00093316753,CAPSULE,"RED, PINK",TEVA;3167,18
00093525668,CAPSULE,BLUE,TEVA;5256,22
00093081001,CAPSULE,"WHITE, ORANGE",TEVA;10mg;0810,16
00093402901,CAPSULE,GREEN,TEVA;4029,16
00093081101,CAPSULE,"WHITE, ORANGE",TEVA;TEVA;25mg;0811,14
00093316501,CAPSULE,PINK,TEVA;3165,16
60505006500,CAPSULE,"PINK, PINK",APO;020,18
60505014600,CAPSULE,"PINK, PINK",APO;040,23
00093075701,CAPSULE,GREEN,93;757;93;757,18
00093300256,CAPSULE,WHITE,93;3002;93;3002,22
00093213001,CAPSULE,"PINK, WHITE",Z;Zenith;50;mg;2130,16
00093213101,CAPSULE,PINK,Z;Zenith;100;mg;2131,18
00093316006,CAPSULE,"GREEN, PURPLE",93;3160;93;3160,23
00093719856,CAPSULE,"BLUE, ORANGE",TEVA;7198,18
00093319501,CAPSULE,"BLUE, WHITE",TEVA;3195,18
00093319301,CAPSULE,"BLUE, BLUE",93;3193;93;3193,18
00093733401,CAPSULE,"BLUE, ORANGE",TEVA;7334,19
00555102101,CAPSULE,PINK,barr;16;mg;1021,18
00555032402,CAPSULE,"YELLOW, PINK",barr;324;100,19
00555102001,CAPSULE,BROWN,barr;8;mg;1020,14
00555102201,CAPSULE,BROWN,barr;24;mg;1022,19
00555030202,CAPSULE,"YELLOW, RED",barr;302;50,16
00555051302,CAPSULE,ORANGE,barr;513,23
00555032302,CAPSULE,"YELLOW, PINK",barr;323;25,16
00093735156,CAPSULE,"GRAY, PINK",93;7351;93;7351,19
00093733801,CAPSULE,"BROWN, WHITE",93;7338;93;7338,18
63459070160,CAPSULE,"BLUE, RED",Cephalon;30;mg,14
00093735056,CAPSULE,"BLUE, PINK",93;7350;93;7350,16
63459070060,CAPSULE,ORANGE,15mg;Cephalon,14
00093433601,CAPSULE,WHITE,I;4336;1;mg,16
00093319653,CAPSULE,"RED, WHITE",93;3196;93;3196,23
00093312701,CAPSULE,"BLUE, RED",93;3127;93;3127,19
00093433801,CAPSULE,"WHITE, RED",I;4338;5;mg,16
00093433901,CAPSULE,"WHITE, BLUE",I;4339;10;mg,16
00093312901,CAPSULE,"RED, WHITE",93;3129;93;3129,19
00093511798,CAPSULE,"GREEN, GREEN",BVF;180;BVF;180,18
00093511298,CAPSULE,GREEN,BVF;120;BVF;120,16
00093511998,CAPSULE,"WHITE, GREEN",BVF;300;BVF;300,22
00093511898,CAPSULE,GREEN,BVF;240;BVF;240,19
00172496058,CAPSULE,BROWN,4960,22
00172524160,CAPSULE,"GRAY, WHITE",5241;0;5mg,14
00555005902,CAPSULE,PINK,barr;059,14
00172524060,CAPSULE,WHITE,5240;1;mg,16
50111064701,CAPSULE,"WHITE, GREEN",PLIVA;647;PLIVA;647,16
00555080802,CAPSULE,"BROWN, YELLOW",barr;808,18
50111088405,CAPSULE,"GREEN, BLACK",375;mg;PLIVA,19
00555059001,CAPSULE,"RED, WHITE",barr;400;mg;590,23
50111064801,CAPSULE,"WHITE, GREEN",PLIVA;648,16
00555063302,CAPSULE,"YELLOW, WHITE",barr;633,16
00555058801,CAPSULE,"GREEN, WHITE",barr;200;mg;588,18
00093743601,CAPSULE,ORANGE,93;7436;93;7436,14
00093743701,CAPSULE,PINK,93;7437;93;7437,14
00093743801,CAPSULE,BLUE,93;7438;93;7438,14
00093722772,CAPSULE,WHITE,93;7227;93;7227,19
00093738456,CAPSULE,"GRAY, WHITE",93;7384;93;7384,18
51285053902,CAPSULE,"BLUE, ORANGE",OP;719,18
51285053802,CAPSULE,"BLUE, YELLOW",OP;718,18
00555063509,CAPSULE,"ORANGE, YELLOW",barr;635,19
00555058901,CAPSULE,"BLUE, WHITE",barr;250;mg;589,19
51285075402,CAPSULE,ORANGE,DIAMOX;754,23
00555088202,CAPSULE,"PURPLE, PINK",barr;882,22
00555105486,CAPSULE,GRAY,barr;934,18
00555105686,CAPSULE,ORANGE,barr;454,18
00555105786,CAPSULE,ORANGE,barr;936,19
00555105586,CAPSULE,BROWN,barr;935,18
57844032301,CAPSULE,BLUE,Lofibra;134;mg;Gate;323,18
57844001901,CAPSULE,"WHITE, BLUE",ADIPEX;P;37;5,16
57844021552,CAPSULE,BLUE,93;215;93;215,19
51285055402,CAPSULE,"BLUE, WHITE",OP;720,19
57844032201,CAPSULE,PINK,Lofibra;67;mg;Gate;322,14
57844032401,CAPSULE,ORANGE,Lofibra;200;mg;Gate;324,19
57844020852,CAPSULE,ORANGE,93;208;93;208,19
00093434656,CAPSULE,BLUE,4346;40;mg,22
00093551489,CAPSULE,"BLACK, TURQUOISE",93;5514;93;5514,21
00093551389,CAPSULE,"GRAY, GREEN",93;5513;93;5513,19
00093730001,CAPSULE,"GRAY, WHITE",TEVA;7300,16
00093551289,CAPSULE,GREEN,93;5512;93;5512,16
00093874001,CAPSULE,ORANGE,N;740;200,19
00093873901,CAPSULE,"ORANGE, BROWN",N;739;150,18
00093874101,CAPSULE,"ORANGE, TURQUOISE",N;741;250,22
00093550356,CAPSULE,BROWN,TEVA;5503,16
60505264907,CAPSULE,"WHITE, GREEN",APO;T4,16
